aaron's_rod%1:20:00::	aaron-s_rod%1:20:00::
abc's%1:09:00::	abc-s%1:09:00::
abc's%1:10:00::	abc-s%1:10:00::
abraham's_bosom%1:15:00::	abraham-s_bosom%1:15:00::
achilles'_heel%1:07:00::	achilles-_heel%1:07:00::
actor's_agent%1:18:00::	actor-s_agent%1:18:00::
actor's_assistant%1:18:00::	actor-s_assistant%1:18:00::
actor's_line%1:10:00::	actor-s_line%1:10:00::
adam's_apple%1:08:00::	adam-s_apple%1:08:00::
adam's_apple%1:20:00::	adam-s_apple%1:20:00::
adam's_needle%1:20:00::	adam-s_needle%1:20:00::
adam's_needle-and-thread%1:20:00::	adam-s_needle-and-thread%1:20:00::
adam's_peak%1:17:00::	adam-s_peak%1:17:00::
adder's_fern%1:20:00::	adder-s_fern%1:20:00::
adder's_tongue%1:20:00::	adder-s_tongue%1:20:00::
adder's_tongue_fern%1:20:00::	adder-s_tongue_fern%1:20:00::
addison's_disease%1:26:00::	addison-s_disease%1:26:00::
addison's_syndrome%1:26:00::	addison-s_syndrome%1:26:00::
aesop's_fables%1:10:00::	aesop-s_fables%1:10:00::
affaire_d'honneur%1:04:00::	affaire_d-honneur%1:04:00::
akwa'ala%1:10:00::	akwa-ala%1:10:00::
akwa'ala%1:18:00::	akwa-ala%1:18:00::
aladdin's_lamp%1:06:00::	aladdin-s_lamp%1:06:00::
albright's_disease%1:26:00::	albright-s_disease%1:26:00::
all_fools'_day%1:28:00::	all_fools-_day%1:28:00::
all_saints'_day%1:28:00::	all_saints-_day%1:28:00::
all_souls'_day%1:28:00::	all_souls-_day%1:28:00::
alpine_enchanter's_nightshade%1:20:00::	alpine_enchanter-s_nightshade%1:20:00::
alzheimer's%1:26:00::	alzheimer-s%1:26:00::
alzheimer's_disease%1:26:00::	alzheimer-s_disease%1:26:00::
andrew's_clintonia%1:20:00::	andrew-s_clintonia%1:20:00::
angel's_trumpet%1:20:01::	angel-s_trumpet%1:20:01::
angel's_trumpet%1:20:02::	angel-s_trumpet%1:20:02::
apex_of_the_sun's_way%1:15:00::	apex_of_the_sun-s_way%1:15:00::
apothecaries'_ounce%1:23:00::	apothecaries-_ounce%1:23:00::
apothecaries'_pound%1:23:00::	apothecaries-_pound%1:23:00::
apothecaries'_unit%1:23:00::	apothecaries-_unit%1:23:00::
apothecaries'_weight%1:23:00::	apothecaries-_weight%1:23:00::
apothecary's_shop%1:06:00::	apothecary-s_shop%1:06:00::
april_fools'%1:28:00::	april_fools-%1:28:00::
april_fools'_day%1:28:00::	april_fools-_day%1:28:00::
arabian_nights'_entertainment%1:10:00::	arabian_nights-_entertainment%1:10:00::
archimedes'_principle%1:09:00::	archimedes-_principle%1:09:00::
arm's_length%1:07:00::	arm-s_length%1:07:00::
artisan's_lien%1:21:00::	artisan-s_lien%1:21:00::
artist's_loft%1:06:00::	artist-s_loft%1:06:00::
artist's_model%1:18:00::	artist-s_model%1:18:00::
artist's_workroom%1:06:00::	artist-s_workroom%1:06:00::
at_arm's_length%4:02:00::	at_arm-s_length%4:02:00::
athlete's_foot%1:26:00::	athlete-s_foot%1:26:00::
athlete's_heart%1:08:00::	athlete-s_heart%1:08:00::
audubon's_caracara%1:05:00::	audubon-s_caracara%1:05:00::
audubon's_warbler%1:05:00::	audubon-s_warbler%1:05:00::
australian_hare's_foot%1:20:00::	australian_hare-s_foot%1:20:00::
author's_name%1:10:00::	author-s_name%1:10:00::
avogadro's_hypothesis%1:09:00::	avogadro-s_hypothesis%1:09:00::
avogadro's_law%1:09:00::	avogadro-s_law%1:09:00::
avogadro's_number%1:23:00::	avogadro-s_number%1:23:00::
babies'-breath%1:20:00::	babies--breath%1:20:00::
babies'_slippers%1:20:00::	babies-_slippers%1:20:00::
baby's_bed%1:06:00::	baby-s_bed%1:06:00::
baby's_breath%1:20:00::	baby-s_breath%1:20:00::
baby's_dummy%1:06:00::	baby-s_dummy%1:06:00::
baby's_room%1:06:00::	baby-s_room%1:06:00::
baby's_tears%1:20:00::	baby-s_tears%1:20:00::
bachelor's_button%1:20:01::	bachelor-s_button%1:20:01::
bachelor's_button%1:20:02::	bachelor-s_button%1:20:02::
bachelor's_degree%1:10:00::	bachelor-s_degree%1:10:00::
baker's_dozen%1:23:00::	baker-s_dozen%1:23:00::
baker's_eczema%1:26:00::	baker-s_eczema%1:26:00::
baker's_yeast%1:20:00::	baker-s_yeast%1:20:00::
bang's_disease%1:26:00::	bang-s_disease%1:26:00::
banker's_acceptance%1:21:00::	banker-s_acceptance%1:21:00::
banker's_bill%1:21:00::	banker-s_bill%1:21:00::
banker's_check%1:21:00::	banker-s_check%1:21:00::
banker's_draft%1:21:00::	banker-s_draft%1:21:00::
banti's_disease%1:26:00::	banti-s_disease%1:26:00::
banti's_syndrome%1:26:00::	banti-s_syndrome%1:26:00::
barber's_itch%1:26:00::	barber-s_itch%1:26:00::
barber's_pole%1:10:00::	barber-s_pole%1:10:00::
barnaby's_thistle%1:20:00::	barnaby-s_thistle%1:20:00::
barrow's_goldeneye%1:05:00::	barrow-s_goldeneye%1:05:00::
bartholin's_gland%1:08:00::	bartholin-s_gland%1:08:00::
